length,time_ms,blocked
1405,65.70,True
282,5.50,True
1443,19.03,True
1892,29.34,True
4247,129.81,True
993,15.53,True
856,13.30,True
816,10.36,True
710,16.29,False
2598,39.67,True
5249,34.55,True
2631,16.72,True
468,6.25,True
940,11.99,True
1912,73.56,True
973,14.26,True
322,7.39,False
670,81.51,True
1013,38.43,False
1045,17.04,True
1204,76.83,False
55089,451.04,True
282,8.64,True
1459,26.04,True
1713,21.36,True
2247,34.90,True
345,4.54,True
2485,37.28,True
3428,46.42,True
10529,71.38,True
4661,60.76,True
503,9.11,True
2000,31.71,True
8621,53.68,True
357,34.72,True
862,14.60,True
499,7.61,True
605,26.35,True
924,6.22,True
1433,13.50,True
3694,143.56,True
230,3.20,True
685,11.54,True
4062,49.99,True
3878,65.45,True
6650,530.73,True
1364,42.69,True
1771,22.03,True
1168,17.93,True
387,11.67,True
2180,37.91,True
4545,79.97,True
321,21.44,True
2653,214.11,True
8454,120.64,True
935,12.03,True
11869,83.63,True
370,23.43,True
958,35.17,True
2344,38.86,True
2469,44.76,True
165,7.33,False
2271,99.81,False
1089,14.75,True
1226,15.31,True
11217,158.46,True
1943,28.20,True
3969,27.73,True
5041,64.86,True
804,11.80,True
1838,31.91,True
4739,78.90,True
6373,232.40,True
158,10.22,False
6021,96.19,True
346,12.79,True
1234,32.07,False
1075,46.76,True
1449,23.70,True
1972,25.36,True
853,25.97,True
1686,21.84,True
45,4.72,False
243,8.34,False
442,39.31,True
4518,65.49,True
1133,38.09,True
391,6.40,True
2789,28.79,True
2611,24.44,True
10711,155.63,True
3864,51.47,True
1404,66.94,True
4533,73.14,True
1480,23.06,True
2203,28.61,True
4482,65.87,True
491,6.34,True
2711,18.62,True
1169,15.31,True
